rule_id,sequence,normalized_sequence,canonical_text,source_lang,target_lang,target_locale,region,variant_id,is_primary,translation,priority,split,translator_id,reviewer_id,quality_status,notes
R012,me fine,me fine,I am fine,en,ceb,ceb-PH,,v1,true,Maayo ko,91,test,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R012,me fine,me fine,I am fine,en,ilo,ilo-PH,,v1,true,Naimbagak,91,test,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R012,me fine,me fine,I am fine,en,pam,pam-PH,,v1,true,Mayap ku,91,test,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R012,me fine,me fine,I am fine,en,hil,hil-PH,,v1,true,Maayo ako,91,test,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R013,father help me,father help me,"Father, help me",en,fil,fil-PH,,v1,true,"Ama, tulungan mo ako",90,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R013,father help me,father help me,"Father, help me",en,ceb,ceb-PH,,v1,true,"Amahan, tabangi ko",90,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R013,father help me,father help me,"Father, help me",en,ilo,ilo-PH,,v1,true,"Ama, tulongannak",90,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R013,father help me,father help me,"Father, help me",en,pam,pam-PH,,v1,true,"Ibpa, saupan mu ku",90,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R013,father help me,father help me,"Father, help me",en,hil,hil-PH,,v1,true,"Amay, buligi ako",90,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R014,mother help me,mother help me,"Mother, help me",en,fil,fil-PH,,v1,true,"Ina, tulungan mo ako",89,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R014,mother help me,mother help me,"Mother, help me",en,ceb,ceb-PH,,v1,true,"Inahan, tabangi ko",89,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R014,mother help me,mother help me,"Mother, help me",en,ilo,ilo-PH,,v1,true,"Ina, tulongannak",89,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R014,mother help me,mother help me,"Mother, help me",en,pam,pam-PH,,v1,true,"Ima, saupan mu ku",89,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R014,mother help me,mother help me,"Mother, help me",en,hil,hil-PH,,v1,true,"Iloy, buligi ako",89,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R015,abuse help me,abuse help me,I am being abused. Help me.,en,fil,fil-PH,,v1,true,Inaabuso ako. Tulungan mo ako.,88,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R015,abuse help me,abuse help me,I am being abused. Help me.,en,ceb,ceb-PH,,v1,true,Giabuso ko. Tabangi ko.,88,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R015,abuse help me,abuse help me,I am being abused. Help me.,en,ilo,ilo-PH,,v1,true,Maab-abusoak. Tulongannak.,88,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R015,abuse help me,abuse help me,I am being abused. Help me.,en,pam,pam-PH,,v1,true,Aabusu ku. Saupan mu ku.,88,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R015,abuse help me,abuse help me,I am being abused. Help me.,en,hil,hil-PH,,v1,true,Ginaabuso ako. Buligi ako.,88,train,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R020,no abuse me,no abuse me,Do not abuse me,en,fil,fil-PH,,v1,true,Huwag mo akong abusuhin,87,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R020,no abuse me,no abuse me,Do not abuse me,en,ceb,ceb-PH,,v1,true,Ayaw ko abusohi,87,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R020,no abuse me,no abuse me,Do not abuse me,en,ilo,ilo-PH,,v1,true,Saan nak nga abusoen,87,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R020,no abuse me,no abuse me,Do not abuse me,en,pam,pam-PH,,v1,true,Ali mu ku abusuan,87,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
R020,no abuse me,no abuse me,Do not abuse me,en,hil,hil-PH,,v1,true,Indi mo ako pag-abusuhon,87,dev,AI_DRAFT,,needs_native_review,Phrase rule should override word-by-word translation when the sequence matches.
